Date;Bank_Code;Bank_Name;Deposits;Loans;Loan_Deposit_Ratio;Market_Share_Deposits;Market_Share_Loans
01-Jan-18;110728;Other;5088353;4852220;0.953593431902228;0.00140635103747191;0.00129900649612677
01-Jan-18;129593;Other;1039693;928325;0.892883764726703;0.000287356897055351;0.000248525459586928
01-Jan-18;148520;Other;1949564;2074151;1.06390505774624;0.000538832772415337;0.000555278949212492
01-Jan-18;154679;Other;252283;452314;1.79288338889263;6.97275638672331e-05;0.000121090722244475
01-Jan-18;155438;Other;9612103;9057565;0.942308358535068;0.00265665354316749;0.00242483559568414
01-Jan-18;159158;Other;10818;501010;46.3126271029765;2.98994694813256e-06;0.000134127315872832
01-Jan-18;160571;Other;3985142;25430772;6.38139669803485;0.00110143863567895;0.00680816987472102
01-Jan-18;165239;Other;0;612753;Inf;0;0.000164042464587584
01-Jan-18;165271;Other;48;205891;4289.39583333333;1.32665421991461e-08;5.51198722428161e-05
01-Jan-18;165565;Other;44150158.94;27718462.53;0.627822485705416;0.0122024988890942;0.0074206163135877
01-Jan-18;165816;Other;4335770;3386546;0.781071412920888;0.00119834740980816;0.000906625267080251
01-Jan-18;170798;Other;6854292;6695924;0.976895060788189;0.00189443237631812;0.00179259159180152
01-Jan-18;25046;Other;7217668;3519873;0.487674550838304;0.00199486452294639;0.00094231875152842
01-Jan-18;25054;Investec;313660448;296045474;0.943840627301533;0.0866914493665643;0.0792554735512671
01-Jan-18;25070;Other;5234591;4973811;0.950181399081609;0.00144676921659939;0.00133155809083405
01-Jan-18;262293;Other;1266521;1671088;1.31943173464948;0.0003500490477626;0.000447373401782997
01-Jan-18;331562;Other;2596661;2535530;0.976457843361147;0.000717681515278688;0.000678796497505124
01-Jan-18;331899;Other;4265665;9906221;2.32231574678274;0.00117897134854002;0.00265203256057381
01-Jan-18;333107;Capitec;58602106;65154307;1.11180828552476;0.0161968190043299;0.0174427103560098
01-Jan-18;333778;Other;5878057;6035834;1.02684169275664;0.00162461440082263;0.00161587635670741
01-Jan-18;335487;Other;4902574;4958066;1.01131895204438;0.0013550042678216;0.00132734293626944
01-Jan-18;337889;Other;16149740;37691244;2.33386073088483;0.00446356681698414;0.0100904680338277
01-Jan-18;341037;Other;29087872;17250377;0.593043623129255;0.0080394891952367;0.00461816483663887
01-Jan-18;34118;ABSA;718313810;731936605;1.018964963238;0.198532093179051;0.195949566311498
01-Jan-18;341894;Other;4545886;937357;0.206198967593996;0.00125642059273974;0.000250943451078043
01-Jan-18;416053;FNB;788021878.89;796510263.56;1.01077176268501;0.217798448128013;0.213236829038273
01-Jan-18;416061;Standard Bank;814597370;901965371;1.10725298683447;0.225143549675385;0.241468621828852
01-Jan-18;416088;Nedbank;683169829;701043045;1.02616218580109;0.188818778450249;0.187678932430824
01-Jan-18;416096;Other;8892665;10432285;1.1731337006398;0.00245781073927854;0.00279286717923876
01-Jan-18;416134;Other;1982919;2010332;1.01382456872923;0.000548051637312264;0.000538193719034076
01-Jan-18;418072;Other;1167444;1194041;1.02278224908432;0.000322665522732083;0.000319661312892183
01-Jan-18;477745;Other;1023862.59;776744.45;0.758641303614775;0.00028298158867421;0.000207945246996306
01-Jan-18;477842;Other;159121;436393;2.74252298565243;4.39788637764653e-05;0.0001168284500423
01-Jan-18;478636;Other;10019956;11015560;1.09936211296736;0.00276937852307474;0.00294901797496285
01-Jan-18;535761;Other;35743792;28992785;0.811127845641;0.0098790942692813;0.00776177008787871
01-Jan-18;535788;Other;24345736;16423049;0.674575991459038;0.00672882779194316;0.00439667767273707
01-Feb-18;110728;Other;5027019;4763905;0.947660034704464;0.00136433616647078;0.0012551332102953
01-Feb-18;129593;Other;991654;940052;0.94796370508262;0.000269135528794582;0.00024767296673727
01-Feb-18;148520;Other;1895878;2022746;1.06691780800241;0.000514542499763037;0.000532927436754506
01-Feb-18;154679;Other;274488;516371;1.8812152079508;7.44962184670936e-05;0.000136046875605914
01-Feb-18;155438;Other;11363545;10877830;0.95725673634416;0.00308407336889281;0.00286595255130959
01-Feb-18;159158;Other;141848;406352;2.86470024251311;3.84976377733099e-05;0.000107060466207852
01-Feb-18;160571;Other;3070494;25269687;8.22984412280239;0.000833334032183192;0.00665773632502482
01-Feb-18;165239;Other;6;462765;77127.5;1.62840383114221e-09;0.000121923447269058
01-Feb-18;165271;Other;38;252577;6646.76315789474;1.03132242639006e-08;6.65457814244314e-05
01-Feb-18;165565;Other;41246856.51;31158903.31;0.755424920743857;0.0111944231939095;0.0082093522731375
01-Feb-18;165816;Other;4286139;3197460;0.746000071392925;0.00116326086140134;0.000842426168152137
01-Feb-18;170798;Other;6996431;6820446;0.97484646100276;0.00189883584078702;0.00179696452461284
01-Feb-18;25046;Other;7682114;4028138;0.52435280184595;0.00208493064481186;0.00106128266190289
01-Feb-18;25054;Investec;315426903;300587973;0.952956041926455;0.0856070628817535;0.079195103077758
01-Feb-18;25070;Other;5240030;4913137;0.937616196853835;0.00142214748788335;0.00129445096311337
01-Feb-18;262293;Other;1266521;1671088;1.31943173464948;0.000343734608103676;0.000440277051311046
01-Feb-18;331562;Other;2171879;2121917;0.976995956036225;0.000589449347396217;0.000559055752830959
01-Feb-18;331899;Other;3705910;12731903;3.43556724259359;0.00100578634031137;0.00335444016737495
01-Feb-18;333107;Capitec;58818841;65139636;1.10746208005017;0.015963471004624;0.0171621643274052
01-Feb-18;333778;Other;5621474;6031637;1.07296360349616;0.00152567163304438;0.00158913914344344
01-Feb-18;335487;Other;5044311;4881909;0.96780491924467;0.00136902922631213;0.00128622340612156
